disease_code,disease_name,entity_type,evidence_levels,evidence_texts,guideline_names,node_code,node_name,pages,recommendation_levels
DIS-CARD-ARR-AVB,房室传导阻滞,ClinicalRule,[],[],[],CARD-SKELETON-FULL-20260709-DIFFERENTIALDIAGNOSIS-A6DF09C52922FA7A,房室传导阻滞可以发生在房室结、希氏束以及束支等不同的部位,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,ClinicalRule,['B'],[],[],RULE-CDSS-BRADYAVB-ARR-AVB-03-01-TREAT,房室传导阻滞治疗决策阶段规则,[],['Ⅰ']
DIS-CARD-ARR-AVB,房室传导阻滞,ClinicalRule,['N/A'],['当房颤病人的心室律变得规则，应考虑以下的可能性：①恢复窦性心律；②转变为房性心动过速； ③转变为房扑（固定的房室传导比率）；④发生房室交界性心动过速或室性心动过速。如心室律变为慢而规则（30～60 次 / 分），提示可能出现完全性房室传导阻滞。心电图检查有助于确立诊断。房颤病人并发房室交界性与室性心动过速或完全性房室传导阻滞，常见原因是洋地黄中毒。'],[],RULE-CDSS-BRADYAVB-ARR-AVB-01-01-DIAG,房室传导阻滞诊断确认阶段规则,[],['N/A']
DIS-CARD-ARR-AVB,房室传导阻滞,ClinicalRule,['B'],[],[],RULE-CDSS-BRADYAVB-ARR-AVB-04-01-FOLLOW,房室传导阻滞随访管理阶段规则,[],['Ⅰ']
DIS-CARD-ARR-AVB,房室传导阻滞,ClinicalRule,['B'],[],[],RULE-CDSS-BRADYAVB-ARR-AVB-02-01-RISK,房室传导阻滞风险分层阶段规则,[],['Ⅰ']
DIS-CARD-ARR-AVB,房室传导阻滞,DiagnosisCriteria,[],[],[],DX-CARD-5F28B989F353,心电图传导阻滞诊断依据,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-DIURETIC,利尿剂,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-669F94E52F61,异丙肾上腺素,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-TEXT-93710567D3,洋地黄类药物,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-55157DA54154,硝酸酯类药物,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-AMIODARONE,胺碘酮,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-TEXT-B905AF3E59,血管紧张素Ⅱ受体拮抗剂,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-E40082221530,血管紧张素转换酶抑制剂,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-TEXT-4E1713BBBA,醛固酮受体拮抗剂,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-TEXT-28E925C6DE,钙通道阻滞剂,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Medication,[],[],[],MED-CARD-EF0B44CD1F78,阿托品,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Procedure,[],[],[],PROC-CARD-B69847521FA1,临时心脏起搏,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Procedure,[],[],[],PROC-CARD-BA093052CBC6,导管消融,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Procedure,[],[],[],PROC-CARD-TEXT-84551F84B4,射频消融术,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Procedure,[],[],[],PROC-CARD-TEXT-D2C1F9E289,心脏再同步治疗,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Procedure,[],[],[],PROC-CARD-TEXT-D9A9D30763,植入式心律转复除颤器,[],[]
DIS-CARD-ARR-AVB,房室传导阻滞,Procedure,[],[],[],PROC-CARD-E9ADC25A25E3,经皮冠状动脉介入治疗,[],[]
